Food name,Measure,Weight ,Energy,Energy.1,Protein,Carbohydrate,Total Sugar,Total Fat,Saturated Fat,Monounsaturated Fat,Polyunsaturated Fat,Cholesterol,Calcium,Iron,Sodium,Potassium,Magnesium,Phosphorus,Vitamin A,Lycopene,Folate,DHA,EPA,Vitamin D,Vitamin B12,Vitamin E,Trans Fat,Vitamin C,Dietary Folate Equivalents,Thiamin,Riboflavin,Niacin,Beta carotene,Caffeine,Alcohol,Total Daietary Fibre,Total Dietary Fibre,Folate ,Trans fats,Monounsaturated fat,Polyunsaturated fat,Protei, Folate
"Arctic char, boiled",75g,75,119.0,496.0,20,0,,4,0.7,,0.9,,23,0.4,38.0,,,188.0,68.0,,,0.3,0.38,2.8,,,,,,,,,,,,,,,,,,,
"Bass, mixed species, baked or broiled",75g,75,110.0,458.0,18,0,,4,0.8,,1.0,65.0,77,1.4,68.0,342.0,,192.0,26.0,,,0.34,0.23,,1.73,,,,,,,,,,,,,,,,,,
"Burbot (loche), raw",90g,90,71.0,297.0,16,0,,1,0.1,,0.3,54.0,22,0.3,63.0,288.0,,171.0,5.0,,,0.09,0.06,0.5,0.72,,,,,,,,,,,,,,,,,,
"Catfish, channel, farmed, baked or broiled",75g,75,114.0,477.0,14,0,,6,1.3,,1.0,48.0,7,0.6,60.0,241.0,,184.0,11.0,,,0.1,0.04,,2.1,1.0,,,,,,,,,,,,,,,,,
"Cisco (lake herring, tullibee), baked or broiled",75g,75,98.0,408.0,17,0,,3,,,,,38,0.5,38.0,312.0,,188.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
"Cisco (lake herring, tullibee), raw",90g,90,88.0,369.0,17,0,,2,1.1,,1.2,45.0,10,0.4,50.0,319.0,,137.0,27.0,,,0.46,0.11,,0.9,,,,,,,,,,,,,,,,,,
"Cod, Atlantic, baked or broiled",75g,75,79.0,329.0,17,0,,1,0.1,,0.2,41.0,11,0.4,59.0,183.0,,104.0,11.0,,,0.12,tr,0.5,0.79,0.6,,,,,,,,,,,,,,,,,
"Cod, Atlantic, dried and salted, soaked in water",75g,75,62.0,259.0,13,0,,1,0.1,,0.2,32.0,35,0.5,1353.0,265.0,,183.0,9.0,,,0.09,tr,0.5,1.82,0.6,,,,,,,,,,,,,,,,,
Gefiltefish,75g,75,63.0,263.0,7,6,,1,0.3,,0.2,23.0,17,1.9,393.0,68.0,,55.0,20.0,,,0.03,0.06,,0.63,,,,,,,,,,,,,,,,,,
"Grayling, baked or broiled",75g,75,80.0,332.0,17,0,,1,,,,,29,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Haddock, baked or broiled",75g,75,84.0,351.0,18,0,,1,0.1,,0.2,56.0,32,1.0,65.0,299.0,,181.0,14.0,,,0.12,0.06,0.2,1.04,0.4,,,,,,,,,,,,,,,,,
"Halibut, Atlantic and Pacific, baked or broiled",75g,75,105.0,439.0,20,0,,2,0.3,,0.7,31.0,45,0.8,52.0,432.0,,214.0,41.0,,,0.28,0.07,3.6,1.03,2.2,,,,,,,,,,,,,,,,,
"Herring, Atlantic, kippered",75g,75,163.0,680.0,18,0,,9,2.1,,2.2,62.0,63,1.1,689.0,335.0,,244.0,30.0,,,0.88,0.73,1.6,14.03,1.2,,,,,,,,,,,,,,,,,
"Mackerel, Atlantic, baked or broiled",75g,75,197.0,822.0,18,0,,13,3.1,,3.2,56.0,11,1.2,62.0,301.0,,209.0,41.0,,,0.52,0.38,2.0,14.25,1.5,,,,,,,,,,,,,,,,,
"Ocean Perch, Atlantic, baked or broiled",75g,75,91.0,380.0,18,0,,2,0.2,,0.4,41.0,103,0.9,72.0,263.0,,208.0,11.0,,,0.2,0.08,,0.86,1.2,,,,,,,,,,,,,,,,,
"Pickerel (Walleye), baked or broiled",75g,75,89.0,374.0,18,0,,1,0.2,,0.4,83.0,106,1.3,49.0,374.0,,202.0,18.0,,,0.22,0.08,3.5,1.73,,,,,,,,,,,,,,,,,,
"Pike, northern, baked or broiled",75g,75,71.0,298.0,16,0,,1,0.2,,0.2,38.0,33,0.3,23.0,323.0,,180.0,1.0,,,0.08,0.08,2.4,1.73,0.2,,,,,,,,,,,,,,,,,
"Pollock, Atlantic, baked or broiled",75g,75,89.0,370.0,19,0,,1,0.1,,0.5,68.0,58,0.4,83.0,342.0,,212.0,9.0,,,0.34,0.07,1.4,2.76,0.2,,,,,,,,,,,,,,,,,
"Salmon, Atlantic, farmed, baked or broiled",75g,75,155.0,646.0,17,0,,9,1.9,,3.3,47.0,11,0.3,46.0,288.0,,189.0,11.0,,,1.09,0.52,5.1,2.1,,,,,,,,,,,,,,,,,,
"Salmon, chum (keta), baked or broiled",75g,75,116.0,483.0,19,0,,4,0.8,,0.9,71.0,11,0.5,48.0,413.0,,272.0,26.0,,,0.38,0.22,14.0,2.6,1.1,,,,,,,,,,,,,,,,,
"Salmon, chum (keta), canned, drained solids with bone, salted",75g,75,106.0,443.0,16,0,,4,1.1,,1.1,29.0,187,0.5,365.0,225.0,,266.0,14.0,,,0.53,0.35,5.0,3.3,1.2,,,,,,,,,,,,,,,,,
"Salmon, chum (keta), canned, drained solids with bone, unsalted",75g,75,106.0,443.0,16,0,,4,1.1,,1.1,29.0,187,0.5,56.0,225.0,,266.0,14.0,,,0.53,0.35,4.2,3.3,1.2,,,,,,,,,,,,,,,,,
"Salmon, coho, farmed, baked or broiled",75g,75,134.0,558.0,18,0,,6,1.5,,1.5,47.0,9,0.3,39.0,345.0,,249.0,44.0,,,0.65,0.31,,2.38,0.7,,,,,,,,,,,,,,,,,
"Salmon, eggs, raw",90g,90,116.0,485.0,24,0,,9,2.1,,2.3,,11,0.6,45.0,369.0,,198.0,,,,1.17,0.99,,,,,,,,,,,,,,,,,,,,
"Salmon, king or chinook, smoked, canned",75g,75,113.0,470.0,17,1,,4,,,,,45,1.4,,,,,72.0,,,,,,,,,,,,,,,,,,,,,,,,
"Salmon, pink, canned, drained solids with bone",75g,75,102.0,427.0,17,0,,4,0.6,,1.1,62.0,208,0.7,299.0,233.0,,274.0,17.0,,,0.52,0.27,,3.71,1.0,,,,,,,,,,,,,,,,,
"Salmon, smoked",2 pieces,40,47.0,196.0,7,0,,2,0.4,,0.4,9.0,4,0.3,314.0,70.0,,66.0,10.0,,,0.11,0.07,4.2,1.3,0.5,,,,,,,,,,,,,,,,,
"Salmon, smoked, lox",2 pieces,40,47.0,196.0,7,0,,2,0.4,,0.4,9.0,4,0.3,800.0,70.0,,66.0,10.0,,,0.11,0.07,4.2,1.3,,,,,,,,,,,,,,,,,,
"Salmon, sockeye, baked or broiled",75g,75,162.0,677.0,20,0,,8,1.4,,1.8,65.0,5,0.4,50.0,281.0,,207.0,47.0,,,0.53,0.4,17.0,4.35,2.3,,,,,,,,,,,,,,,,,
"Sardines, Atlantic, canned in oil, drained solids with bones",1 can,106,220.0,922.0,26,0,,12,1.6,,5.5,151.0,405,3.1,535.0,421.0,,519.0,34.0,,,0.54,0.5,2.5,9.48,2.2,,,,,,,,,,,,,,,,,
"Sardines, Pacific, canned in tomato sauce, drained with bones",1 can,106,197.0,825.0,22,1,,11,2.8,,2.2,65.0,254,2.4,439.0,361.0,,388.0,36.0,,,0.92,0.56,12.7,9.54,1.5,,,,,,,,,,,,,,,,,
"Smelt, breaded and fried",5,80,201.0,840.0,17,10,,10,2.5,,2.7,79.0,31,1.0,,332.0,,246.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,
"Snapper, mixed species, baked or broiled",75g,75,96.0,401.0,20,0,,1,0.3,,0.4,35.0,30,0.2,43.0,392.0,,151.0,26.0,,,0.2,0.04,2.2,2.63,0.5,,,,,,,,,,,,,,,,,
"Sole (flatfish), baked or broiled",75g,75,88.0,367.0,18,0,,1,0.3,,0.5,51.0,14,0.3,79.0,258.0,,217.0,10.0,,,0.19,0.18,1.1,1.88,0.5,,,,,,,,,,,,,,,,,
"Trout, rainbow, farmed, baked or broiled",75g,75,127.0,530.0,18,0,,5,1.6,,1.7,51.0,65,0.2,32.0,331.0,,200.0,65.0,,,0.62,0.25,4.8,3.73,0.0,,,,,,,,,,,,,,,,,
"Tuna, light, canned in water, drained, salted",75g,75,87.0,364.0,19,0,,1,0.2,,0.3,23.0,8,1.1,254.0,178.0,,122.0,13.0,,,0.17,0.04,0.9,2.24,0.3,,,,,,,,,,,,,,,,,
"Tuna, light, canned with oil, drained, salted",75g,75,149.0,621.0,22,0,,6,1.2,,2.2,14.0,10,1.0,266.0,155.0,,233.0,17.0,,,0.08,0.02,0.7,1.65,0.7,,,,,,,,,,,,,,,,,
"Turbot, baked or broiled",75g,75,92.0,383.0,15,0,,3,,,,47.0,17,0.3,144.0,229.0,,124.0,9.0,,,,,,1.91,,,,,,,,,,,,,,,,,,
"Whitefish, lake, native, baked",75g,75,100.0,417.0,17,0,,3,0.9,,2.1,58.0,12,0.3,33.0,294.0,,168.0,8.0,,,0.9,0.3,11.3,0.72,,,,,,,,,,,,,,,,,,
"Clams, mixed species, boiled or steamed",5 large,60,89.0,371.0,15,3,,1,0.1,,0.3,40.0,55,16.8,67.0,377.0,,203.0,103.0,,,0.09,0.08,0.1,59.33,0.4,,,,,,,,,,,,,,,,,
"Clams, mixed species, canned, drained solids",125mL,85,125.0,523.0,22,4,,2,0.2,,0.5,57.0,78,23.6,95.0,531.0,,286.0,153.0,,,0.12,0.12,0.1,83.59,0.5,,,,,,,,,,,,,,,,,
"Crab, canned, drained",125mL,71,71.0,295.0,15,0,,1,0.2,,0.3,63.0,72,0.6,238.0,267.0,,185.0,1.0,,,0.12,0.14,,0.33,1.3,,,,,,,,,,,,,,,,,
"Crab, snow, boiled or steamed",125mL,62,72.0,300.0,15,0,,1,0.1,,0.3,44.0,21,1.8,431.0,125.0,,80.0,32.0,,,0.09,0.21,,6.47,,,,,,,,,,,,,,,,,,
"Crayfish, mixed species, farmed, boiled or steamed",4 medium,60,52.0,218.0,11,0,,1,0.1,,0.2,82.0,31,0.7,58.0,143.0,,145.0,9.0,,,0.02,0.07,,1.86,,,,,,,,,,,,,,,,,,
"Lobster, boiled or steamed",125mL,77,75.0,314.0,16,1,,tr,0.1,,0.1,55.0,47,0.3,291.0,270.0,,142.0,20.0,,,0.02,0.04,,2.38,0.8,,,,,,,,,,,,,,,,,
"Mussels, boiled or steamed",15 small,75,129.0,539.0,18,6,,3,0.6,,0.9,42.0,25,5.0,277.0,201.0,,214.0,68.0,,,0.38,0.21,0.2,18.0,0.8,,,,,,,,,,,,,,,,,
"Oysters, boiled or steamed",6 medium,42,58.0,241.0,6,3,,2,0.6,,0.8,44.0,38,5.0,177.0,118.0,,85.0,23.0,,,0.25,0.23,3.4,14.71,0.7,,,,,,,,,,,,,,,,,
"Oysters, canned, solids and liquid",125mL,131,90.0,379.0,9,5,,3,0.8,,1.0,72.0,59,8.8,147.0,300.0,,182.0,118.0,,,0.3,0.28,,25.06,1.1,,,,,,,,,,,,,,,,,
"Oysters, raw",6 medium,84,50.0,207.0,4,5,,1,0.4,,0.5,21.0,37,4.9,150.0,104.0,,78.0,7.0,,,0.17,0.16,,13.61,0.5,,,,,,,,,,,,,,,,,
"Scallops, cooked, steamed",6 medium,78,87.0,365.0,18,0,,1,0.1,,0.4,41.0,90,2.3,207.0,371.0,,264.0,23.0,,,0.16,0.13,0.0,1.01,1.2,,,,,,,,,,,,,,,,,
"Shrimp, boiled or steamed",6 medium,30,30.0,124.0,6,0,,tr,0.1,,0.1,59.0,12,0.9,67.0,55.0,,41.0,20.0,,,0.04,0.05,,0.45,0.4,,,,,,,,,,,,,,,,,
"Calamari, breaded and fried",125mL,79,156.0,651.0,14,9,,7,1.7,,1.6,197.0,45,1.0,303.0,216.0,,194.0,17.0,,,0.27,0.11,0.1,1.02,1.0,,,,,,,,,,,,,,,,,
"Caviar, black or red",15mL,16,41.0,171.0,4,1,,3,0.7,,1.2,95.0,45,1.9,243.0,29.0,,58.0,91.0,,,0.62,0.44,0.5,3.25,1.1,,,,,,,,,,,,,,,,,
Crab cake,1,60,93.0,389.0,12,tr,,5,0.9,,1.4,90.0,63,0.6,198.0,194.0,,128.0,34.0,,,0.13,0.14,,3.56,,,,,,,,,,,,,,,,,,
"Crab, imitation, made from surimi",125mL,67,68.0,284.0,8,7,,1,0.2,,0.4,13.0,9,0.3,560.0,60.0,,188.0,13.0,,,0.24,0.16,1.2,1.07,0.1,,,,,,,,,,,,,,,,,
Fish cake,1,120,240.0,1004.0,16,15,,12,3.3,,2.6,63.0,30,0.8,290.0,526.0,,201.0,28.0,,,0.1,tr,1.5,0.73,0.7,,,,,,,,,,,,,,,,,
"Fish fillet, battered and fried",1,134,265.0,1108.0,22,9,,15,3.6,,3.4,71.0,42,1.0,133.0,508.0,,266.0,23.0,,,0.14,0.08,0.8,1.02,1.0,,,,,,,,,,,,,,,,,
"Fish sticks, frozen and reheated (10cm x 2.5cm x 1.3cm)",3 sticks,83,227.0,948.0,13,20,,10,2.6,,2.6,93.0,17,0.6,485.0,217.0,,151.0,26.0,,,0.11,0.07,0.1,1.5,0.4,,,,,,,,,,,,,,,,,
"Shrimp, breaded and fried",6 medium,66,160.0,668.0,14,8,,8,1.4,,3.4,117.0,44,0.8,227.0,149.0,,144.0,,,,0.08,0.07,,1.23,,,,,,,,,,,,,,,,,,
Tuna salad,125mL,108,203.0,847.0,17,10,,10,1.7,,4.5,14.0,18,1.1,435.0,193.0,,193.0,26.0,,,0.06,0.02,3.6,1.3,,,,,,,,,,,,,,,,,,
"Becel, tub, calorie-reduced, canola and safflower oils (non-hydrogenated)",5mL,5,17.0,70.0,tr,tr,0,2,0.3,0.8,0.6,0,1,0,46,1.0,tr,1,48,0.0,,0.00,0.00,0.6,tr,0.2,tr,tr,tr,tr,tr,tr,,0.0,0.0,0.0,,,,,,,
"Becel, tub, canola and safflower oils (non-hydrogenated)",5mL,5,34.0,144.0,tr,tr,0,4,0.5,1.7,1.2,0,1,0,52,2.0,tr,1,48,0.0,,0.00,0.00,0.6,tr,0.2,tr,tr,tr,tr,tr,tr,,0.0,0.0,0.0,,,,,,,
Butter,5mL,5,34.0,144.0,tr,tr,tr,4,2.5,1.0,0.1,10,1,tr,28,1.0,tr,1,33,0.0,,0.00,0.00,tr,0.01,0.1,0.2,0,tr,tr,tr,tr,8,0.0,0.0,0.0,,,,,,,
"Chefmaster, tub, unspecified vegetable oils (hydrogenated)",5mL,5,34.0,144.0,tr,tr,0,4,0.5,1.6,0.9,0,1,0,52,2.0,tr,1,48,0.0,,0.00,0.00,0.6,tr,0.2,0.5,tr,tr,tr,tr,tr,,0.0,0.0,0.0,,,,,,,
"Imperial, stick, soy and canola oils (hydrogenated)",5mL,5,34.0,141.0,tr,tr,0,4,0.5,2.5,0.4,0,tr,tr,31,1.0,tr,tr,48,0.0,,0.00,0.00,0.6,tr,0.3,1.5,0,tr,tr,0.00,tr,,0.0,0.0,0.0,,,,,,,
"Imperial, tub, soya oil (non-hydrogenated)",5mL,5,34.0,144.0,tr,tr,0,4,0.9,0.7,1.8,0,1,0,52,2.0,tr,1,48,0.0,,0.00,0.00,0.6,tr,0.2,tr,tr,tr,tr,tr,tr,,0.0,0.0,0.0,,,,,,,
"Lactantia, tub, soya oil (hydrogenated)",5mL,5,34.0,144.0,tr,tr,0,4,0.7,1.3,1.4,0,1,0,52,2.0,tr,1,48,0.0,,0.00,0.00,0.6,tr,0.2,0.6,tr,tr,tr,tr,tr,,0.0,0.0,0.0,,,,,,,
"Margarine, tub, composite",5mL,5,34.0,144.0,tr,tr,0,4,0.6,1.7,1.3,0,1,0,52,2.0,tr,1,48,0.0,,0.00,0.00,0.6,tr,0.2,,tr,tr,tr,tr,tr,,0.0,0.0,0.0,,,,,,,
Spread (20% butter / 80% margarine),5mL,5,34.0,141.0,tr,tr,0,4,1.0,2.2,0.4,2,1,tr,43,2.0,tr,1,47,,,0.00,0.00,,tr,0.4,1.0,0,tr,tr,tr,tr,4,0.0,0.0,0.0,,,,,,,
Spread (50% butter / 50% margarine),5mL,5,33.0,137.0,tr,tr,0,4,1.5,1.8,0.2,5,1,tr,40,2.0,tr,1,16,0.0,,0.00,0.00,0,tr,0.2,0.7,0,tr,tr,tr,tr,11,0.0,0.0,0.0,,,,,,,
Canola,15mL,14,125.0,525.0,0,0,0,14,1.0,8.4,4.2,0,0,0,0,0.0,0,0,0,0.0,,0.00,0.00,0,0.00,2.4,0.3,0,0,0.0,0.00,0.0,0,0.0,0.0,0.0,,,,,,,
Corn,15mL,14,122.0,510.0,0,0,0,14,1.8,3.8,7.5,0,0,0,0,0.0,0,0,0,0.0,,0.00,0.00,0,0.00,2.0,0.1,0,0,0.0,0.00,0.0,0,0.0,0.0,0.0,,,,,,,
Flaxseed,15mL,14,122.0,511.0,0,0,0,14,1.4,2.5,9.9,0,0,0,0,0.0,0,0,0,0.0,,0.00,0.00,0,0.00,2.4,tr,0,0,0.0,0.00,0.0,0,0.0,0.0,0.0,,,,,,,
Grapeseed,15mL,14,122.0,510.0,0,0,0,14,1.3,2.2,9.6,0,0,0,0,0.0,0,0,0,0.0,,0.00,0.00,0,0.00,4.0,,0,0,0.0,0.00,0.0,0,0.0,0.0,0.0,,,,,,,
Olive,15mL,14,121.0,506.0,0,0,0,14,1.8,10.1,1.4,0,tr,0.1,tr,0.0,0,0,0,0.0,,0.00,0.00,0,0.00,2.0,tr,0,0,0.0,0.00,0.0,0,0.0,0.0,0.0,,,,,,,
Peanut,15mL,14,121.0,506.0,0,0,0,14,2.3,6.3,4.4,0,0,tr,0,0.0,0,0,0,0.0,,0.00,0.00,0,0.00,2.2,,0,0,0.0,0.00,0.0,0,0.0,0.0,0.0,,,,,,,
Sesame,15mL,14,122.0,510.0,0,0,0,14,2.0,5.5,5.7,0,0,0,0,0.0,0,0,0,0.0,,0.00,0.00,0,0.00,0.2,,0,0,0.0,0.00,0.0,0,0.0,0.0,0.0,,,,,,,
Soybean,15mL,14,122.0,510.0,0,0,0,14,2.0,3.2,8.0,0,0,tr,0,0.0,0,0,0,0.0,,0.00,0.00,0,0.00,1.3,0.2,0,0,0.0,0.00,0.0,0,0.0,0.0,0.0,,,,,,,
Sunflower,15mL,14,122.0,510.0,0,0,0,14,1.4,2.7,9.1,0,0,0,0,0.0,0,0,0,0.0,,0.00,0.00,0,0.00,5.7,0.1,0,0,0.0,0.00,0.0,0,0.0,0.0,0.0,,,,,,,
Bacon grease,15mL,12,110.0,459.0,0,0,0,12,4.8,5.5,1.4,12,0,0,18,0.0,0,0,0,0.0,,0.00,0.00,0,0.00,0.1,,0,0,0.0,0.00,0.0,0,0.0,0.0,0.0,,,,,,,
Lard,15mL,13,117.0,489.0,0,0,0,13,5.2,5.9,1.5,12,0,0,0,0.0,0,0,0,0.0,,0.00,0.00,0,0.00,0.1,0.2,0,0,0.0,0.00,0.0,0,0.0,0.0,0.0,,,,,,,
Shortening,15mL,13,115.0,481.0,0,0,0,13,3.2,5.4,3.7,0,tr,tr,1,0.0,0,0,0,0.0,,0.00,0.00,0,0.00,0.1,,0,0,tr,0.00,0.0,0,0.0,0.0,0.0,,,,,,,
Blue cheese,15mL,16,78.0,327.0,1,1,1,8,1.5,1.9,4.3,3,13,tr,170,6.0,0,11,10,0.0,,0.00,0.00,,0.04,0.9,,tr,4,tr,0.02,0.2,3,0.0,0.0,0.0,,,,,,,
"Blue cheese, low Calorie",15mL,16,15.0,64.0,1,tr,tr,1,0.4,0.3,0.4,tr,14,0.1,186,1.0,1,13,,0.0,,tr,0.00,,0.04,tr,,tr,tr,tr,0.02,0.2,tr,0.0,0.0,0.0,,,,,,,
Creamy Caesar,15mL,15,79.0,329.0,tr,tr,tr,9,1.3,2.0,4.9,tr,4,tr,161,4.0,tr,3,tr,0.0,,tr,tr,tr,tr,0.8,,0,tr,tr,tr,tr,tr,0.0,0.0,tr,,,,,,,
"Creamy Caesar, low Calorie",15mL,15,17.0,70.0,tr,3,2,1,0.1,0.2,0.4,tr,4,tr,164,4.0,tr,3,tr,0.0,,tr,tr,0,tr,0.1,,0,tr,tr,tr,tr,tr,0.0,0.0,tr,,,,,,,
"Creamy dressing, fat-free",15mL,16,21.0,90.0,tr,5,3,tr,tr,tr,tr,0,1,0.1,130,14.0,tr,0,tr,52.0,,0.00,0.00,0,0.00,tr,,0,2,tr,tr,tr,6,0.0,0.0,0.4,,,,,,,
French,15mL,16,72.0,303.0,tr,2,3,7,0.9,1.3,3.3,0,4,0.1,133,11.0,1,3,4,59.0,,0.00,0.00,0,0.02,0.8,,0,0,tr,0.01,tr,44,0.0,0.0,0.0,,,,,,,
"French, low fat",15mL,16,33.0,138.0,tr,4,4,2,0.3,0.5,1.2,0,2,0.1,165,13.0,0,2,2,633.0,,0.00,0.00,0,0.00,0.5,,0,tr,0.0,0.00,tr,20,0.0,0.0,0.0,,,,,,,
Italian,15mL,15,43.0,181.0,tr,2,1,4,0.7,0.9,1.9,0,1,0.1,246,7.0,tr,1,2,2.0,,0.00,0.00,0,0.00,0.7,,0,0,tr,tr,0.0,0,0.0,0.0,0.0,,,,,,,
"Italian, low Calorie",15mL,15,11.0,48.0,tr,1,1,1,0.1,0.3,0.3,1,1,0.1,208,13.0,1,2,tr,0.0,,0.00,0.00,0,0.00,tr,,0,0,0.0,tr,tr,1,0.0,0.0,0.0,,,,,,,
Mayonnaise,15mL,14,100.0,419.0,tr,1,tr,11,1.7,2.7,6.0,5,3,0.1,79,5.0,tr,4,11,0.0,,0.00,0.00,tr,0.04,0.7,tr,0,1,0.0,0.00,tr,1,0.0,0.0,0.0,,,,,,,
